"Bankruptcies instigated",
"1986M01",229
"1986M02",225
"1986M03",194
"1986M04",142
"1986M05",123
"1986M06",228
"1986M07",222
"1986M08",170
"1986M09",231
"1986M10",260
"1986M11",226
"1986M12",253
"1987M01",254
"1987M02",258
"1987M03",299
"1987M04",260
"1987M05",232
"1987M06",241
"1987M07",186
"1987M08",180
"1987M09",277
"1987M10",230
"1987M11",223
"1987M12",204
"1988M01",250
"1988M02",245
"1988M03",286
"1988M04",189
"1988M05",262
"1988M06",228
"1988M07",135
"1988M08",211
"1988M09",248
"1988M10",192
"1988M11",212
"1988M12",125
"1989M01",332
"1989M02",216
"1989M03",246
"1989M04",191
"1989M05",247
"1989M06",245
"1989M07",155
"1989M08",203
"1989M09",227
"1989M10",247
"1989M11",260
"1989M12",180
"1990M01",311
"1990M02",237
"1990M03",244
"1990M04",208
"1990M05",336
"1990M06",287
"1990M07",239
"1990M08",353
"1990M09",273
"1990M10",433
"1990M11",439
"1990M12",274
"1991M01",553
"1991M02",533
"1991M03",515
"1991M04",476
"1991M05",547
"1991M06",421
"1991M07",450
"1991M08",505
"1991M09",555
"1991M10",589
"1991M11",576
"1991M12",535
"1992M01",636
"1992M02",626
"1992M03",650
"1992M04",565
"1992M05",520
"1992M06",563
"1992M07",485
"1992M08",610
"1992M09",698
"1992M10",680
"1992M11",657
"1992M12",701
"1993M01",578
"1993M02",605
"1993M03",737
"1993M04",580
"1993M05",652
"1993M06",561
"1993M07",401
"1993M08",500
"1993M09",671
"1993M10",587
"1993M11",547
"1993M12",442
"1994M01",514
"1994M02",483
"1994M03",610
"1994M04",436
"1994M05",488
"1994M06",461
"1994M07",284
"1994M08",447
"1994M09",495
"1994M10",477
"1994M11",485
"1994M12",365
"1995M01",476
"1995M02",460
"1995M03",466
"1995M04",392
"1995M05",364
"1995M06",404
"1995M07",271
"1995M08",333
"1995M09",418
"1995M10",371
"1995M11",418
"1995M12",327
"1996M01",417
"1996M02",416
"1996M03",417
"1996M04",353
"1996M05",371
"1996M06",333
"1996M07",283
"1996M08",389
"1996M09",418
"1996M10",376
"1996M11",314
"1996M12",209
"1997M01",360
"1997M02",319
"1997M03",331
"1997M04",314
"1997M05",287
"1997M06",256
"1997M07",239
"1997M08",241
"1997M09",341
"1997M10",401
"1997M11",248
"1997M12",275
"1998M01",251
"1998M02",275
"1998M03",307
"1998M04",281
"1998M05",248
"1998M06",268
"1998M07",202
"1998M08",240
"1998M09",318
"1998M10",256
"1998M11",293
"1998M12",199
"1999M01",212
"1999M02",307
"1999M03",283
"1999M04",230
"1999M05",313
"1999M06",251
"1999M07",186
"1999M08",281
"1999M09",308
"1999M10",255
"1999M11",269
"1999M12",185
"2000M01",202
"2000M02",246
"2000M03",309
"2000M04",241
"2000M05",273
"2000M06",265
"2000M07",138
"2000M08",271
"2000M09",267
"2000M10",241
"2000M11",278
"2000M12",177
"2001M01",232
"2001M02",232
"2001M03",179
"2001M04",258
"2001M05",253
"2001M06",230
"2001M07",157
"2001M08",292
"2001M09",240
"2001M10",278
"2001M11",269
"2001M12",174
"2002M01",235
"2002M02",274
"2002M03",238
"2002M04",258
"2002M05",245
"2002M06",255
"2002M07",149
"2002M08",248
"2002M09",281
"2002M10",275
"2002M11",255
"2002M12",172
"2003M01",198
"2003M02",246
"2003M03",243
"2003M04",260
"2003M05",217
"2003M06",255
"2003M07",141
"2003M08",209
"2003M09",282
"2003M10",301
"2003M11",222
"2003M12",195
"2004M01",241
"2004M02",202
"2004M03",262
"2004M04",188
"2004M05",178
"2004M06",219
"2004M07",145
"2004M08",232
"2004M09",188
"2004M10",197
"2004M11",217
"2004M12",159
"2005M01",223
"2005M02",218
"2005M03",200
"2005M04",204
"2005M05",197
"2005M06",194
"2005M07",145
"2005M08",172
"2005M09",214
"2005M10",175
"2005M11",218
"2005M12",118
"2006M01",226
"2006M02",215
"2006M03",219
"2006M04",180
"2006M05",204
"2006M06",178
"2006M07",131
"2006M08",213
"2006M09",205
"2006M10",184
"2006M11",201
"2006M12",129
"2007M01",232
"2007M02",195
"2007M03",213
"2007M04",166
"2007M05",193
"2007M06",193
"2007M07",115
"2007M08",229
"2007M09",181
"2007M10",196
"2007M11",194
"2007M12",147
"2008M01",257
"2008M02",238
"2008M03",171
"2008M04",226
"2008M05",204
"2008M06",160
"2008M07",163
"2008M08",237
"2008M09",246
"2008M10",287
"2008M11",246
"2008M12",177
"2009M01",286
"2009M02",302
"2009M03",305
"2009M04",282
"2009M05",292
"2009M06",291
"2009M07",198
"2009M08",292
"2009M09",255
"2009M10",301
"2009M11",235
"2009M12",236
"2010M01",254
"2010M02",263
"2010M03",289
"2010M04",215
"2010M05",223
"2010M06",257
"2010M07",154
"2010M08",226
"2010M09",255
"2010M10",249
"2010M11",246
"2010M12",233
"2011M01",311
"2011M02",271
"2011M03",295
"2011M04",222
"2011M05",280
"2011M06",226
"2011M07",142
"2011M08",259
"2011M09",259
"2011M10",250
"2011M11",242
"2011M12",190
"2012M01",279
"2012M02",271
"2012M03",285
"2012M04",205
"2012M05",294
"2012M06",237
"2012M07",179
"2012M08",308
"2012M09",220
"2012M10",268
"2012M11",244
"2012M12",171
"2013M01",288
"2013M02",258
"2013M03",285
"2013M04",297
"2013M05",286
"2013M06",233
"2013M07",217
"2013M08",294
"2013M09",276
"2013M10",269
"2013M11",230
"2013M12",198
"2014M01",316
"2014M02",250
"2014M03",345
"2014M04",206
"2014M05",254
"2014M06",238
"2014M07",197
"2014M08",264
"2014M09",244
"2014M10",241
"2014M11",229
"2014M12",202
"2015M01",235
"2015M02",208
"2015M03",262
"2015M04",211
"2015M05",238
"2015M06",256
"2015M07",163
"2015M08",193
"2015M09",215
"2015M10",214
"2015M11",191
"2015M12",188
"2016M01",197
"2016M02",263
"2016M03",237
"2016M04",208
"2016M05",220
"2016M06",210
"2016M07",138
"2016M08",206
"2016M09",216
"2016M10",256
"2016M11",156
"2016M12",101
"2017M01",140
"2017M02",143
"2017M03",176
"2017M04",193
"2017M05",238
"2017M06",213
"2017M07",164
"2017M08",186
"2017M09",184
"2017M10",180
"2017M11",208
"2017M12",143
"2018M01",296
"2018M02",232
"2018M03",212
"2018M04",217
"2018M05",206
"2018M06",225
"2018M07",162
"2018M08",229
"2018M09",207
"2018M10",242
"2018M11",182
"2018M12",136
"2019M01",249
"2019M02",208
"2019M03",222
"2019M04",231
"2019M05",216
"2019M06",224
"2019M07",202
"2019M08",188
"2019M09",235
"2019M10",254
"2019M11",230
"2019M12",164
"2020M01",296
"2020M02",268
"2020M03",219
"2020M04",218
"2020M05",200
"2020M06",154
"2020M07",115
"2020M08",130
"2020M09",150
"2020M10",144
"2020M11",151
"2020M12",90
"2021M01",131
"2021M02",284
"2021M03",287
"2021M04",188
"2021M05",247
"2021M06",183
"2021M07",135
"2021M08",168
"2021M09",193
"2021M10",209
"2021M11",241
"2021M12",206
"2022M01",216
"2022M02",194
"2022M03",251
"2022M04",172
"2022M05",269
"2022M06",222
"2022M07",148
"2022M08",227
"2022M09",284
"2022M10",216
"2022M11",233
"2022M12",222
"2023M01",307
"2023M02",324
