"13rb -- Sähkön hinta kuluttajatyypeittäin, 2008M01-2024M06"

"Kuukausi";"Hintakomponentti";"Sähkön kuluttajatyyppi";"Hinta, vuosimuutos (%)"
"2008M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";..
"2008M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";..
"2008M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";..
"2008M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";..
"2008M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";..
"2008M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";..
"2008M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";..
"2008M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";..
"2008M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";..
"2008M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";..
"2008M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";..
"2008M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";..
"2008M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";..
"2008M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";..
"2008M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";..
"2008M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";..
"2008M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";..
"2008M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";..
"2008M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";..
"2008M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";..
"2008M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";..
"2008M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";..
"2008M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";..
"2008M04";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";..
"2008M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";..
"2008M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";..
"2008M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";..
"2008M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";..
"2008M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";..
"2008M05";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";..
"2008M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";..
"2008M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";..
"2008M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";..
"2008M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";..
"2008M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";..
"2008M06";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";..
"2008M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";..
"2008M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";..
"2008M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";..
"2008M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";..
"2008M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";..
"2008M07";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";..
"2008M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";..
"2008M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";..
"2008M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";..
"2008M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";..
"2008M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";..
"2008M08";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";..
"2008M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";..
"2008M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";..
"2008M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";..
"2008M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";..
"2008M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";..
"2008M09";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";..
"2008M10";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";..
