"117y -- Palvelujen tuottajahintaindeksi (2005=100), vuosittain, 2000-2023"

"Vuosi";"Toimiala";"Vuosimuutos, %"
"2000";"6820B Liiketilojen vuokrat";.
"2001";"6820B Liiketilojen vuokrat";2.4
"2002";"6820B Liiketilojen vuokrat";5.0
"2003";"6820B Liiketilojen vuokrat";3.3
"2004";"6820B Liiketilojen vuokrat";2.4
"2005";"6820B Liiketilojen vuokrat";0.2
"2006";"6820B Liiketilojen vuokrat";2.3
"2007";"6820B Liiketilojen vuokrat";3.0
"2008";"6820B Liiketilojen vuokrat";1.2
"2009";"6820B Liiketilojen vuokrat";1.2
"2010";"6820B Liiketilojen vuokrat";7.0
"2011";"6820B Liiketilojen vuokrat";6.3
"2012";"6820B Liiketilojen vuokrat";2.9
"2013";"6820B Liiketilojen vuokrat";2.8
"2014";"6820B Liiketilojen vuokrat";1.2
"2015";"6820B Liiketilojen vuokrat";0.3
"2016";"6820B Liiketilojen vuokrat";-1.3
"2017";"6820B Liiketilojen vuokrat";1.5
"2018";"6820B Liiketilojen vuokrat";1.0
"2019";"6820B Liiketilojen vuokrat";1.1
"2020";"6820B Liiketilojen vuokrat";0.8
"2021";"6820B Liiketilojen vuokrat";2.2
"2022";"6820B Liiketilojen vuokrat";3.6
"2023";"6820B Liiketilojen vuokrat";5.6
