"141l -- Työvoimakustannusindeksi (2020=100) toimialoittain - vuositiedot, 2007-2023"

"Vuosi";"Toimiala (TOL 2008)";"Kausitasoitetun työvoimakustannusindeksin (2020=100) vuosimuutos, %"
"2007";"B-S Yksityinen sektori";.
"2008";"B-S Yksityinen sektori";3.7
"2009";"B-S Yksityinen sektori";4.0
"2010";"B-S Yksityinen sektori";1.5
"2011";"B-S Yksityinen sektori";2.6
"2012";"B-S Yksityinen sektori";4.5
"2013";"B-S Yksityinen sektori";1.8
"2014";"B-S Yksityinen sektori";1.6
"2015";"B-S Yksityinen sektori";1.4
"2016";"B-S Yksityinen sektori";0.8
"2017";"B-S Yksityinen sektori";-1.3
"2018";"B-S Yksityinen sektori";1.3
"2019";"B-S Yksityinen sektori";0.7
"2020";"B-S Yksityinen sektori";0.0
"2021";"B-S Yksityinen sektori";3.5
"2022";"B-S Yksityinen sektori";2.3
"2023";"B-S Yksityinen sektori";3.4
