Bruttokansantuote asukasta kohti ,,,,,,,,,,,,,
"Volyymisarja, viitevuosi 2015",,,,,,,,,,,,,
Vuosi, €/asukas,,,,,,,,,,,,
1975,18 576,,,,,,,,,,,,
1976,18 613,,,,,,,,,,,,
1977,18 621,,,,,,,,,,,,
1978,19 152,,,,,,,,,,,,
1979,20 475,,,,,,,,,,,,
1980,21 561,,,,,,,,,,,,
1981,21 751,,,,,,,,,,,,
1982,22 302,,,,,,,,,,,,
1983,22 860,,,,,,,,,,,,
1984,23 475,,,,,,,,,,,,
1985,24 207,,,,,,,,,,,,
1986,24 793,,,,,,,,,,,,
1987,25 607,,,,,,,,,,,,
1988,26 864,,,,,,,,,,,,
1989,28 129,,,,,,,,,,,,
1990,28 193,,,,,,,,,,,,
1991,26 389,,,,,,,,,,,,
1992,25 376,,,,,,,,,,,,
1993,25 087,,,,,,,,,,,,
1994,25 969,,,,,,,,,,,,
1995,26 961,,,,,,,,,,,,
1996,27 858,,,,,,,,,,,,
1997,29 535,,,,,,,,,,,,
1998,31 064,,,,,,,,,,,,
1999,32 349,,,,,,,,,,,,
2000,34 145,,,,,,,,,,,,
2001,34 957,,,,,,,,,,,,
2002,35 468,,,,,,,,,,,,
2003,36 092,,,,,,,,,,,,
2004,37 424,,,,,,,,,,,,
2005,38 333,,,,,,,,,,,,
2006,39 724,,,,,,,,,,,,
2007,41 652,,,,,,,,,,,,
2008,41 783,,,,,,,,,,,,
2009,38 226,,,,,,,,,,,,
2010,39 263,,,,,,,,,,,,
2011,40 078,,,,,,,,,,,,
2012,39 330,,,,,,,,,,,,
2013,38 796,,,,,,,,,,,,
2014,38 488,,,,,,,,,,,,
2015,38 570,,,,,,,,,,,,
2016,39 548,,,,,,,,,,,,
2017,40 715,,,,,,,,,,,,
2018,41 119,,,,,,,,,,,,
2019,41 582,,,,,,,,,,,,
2020,40 536,,,,,,,,,,,,
2021,41 605,,,,,,,,,,,,
2022*,42 044,,,,,,,,,,,,
2023*,41 404,,,,,,,,,,,,
* ennakkotieto,,,,,,,,,,,,,
"Lähde: Tilastokeskus, kansantalouden vuositilinpito",,,,,,,,,,,,,
Suomi lukuina,,,,,,,,,,,,,
