txtb_year,textbox1,textbox4,txtb_value
Lainat,"12 kk:n muutos (1), %",1/2003,"9,1"
Lainat,"12 kk:n muutos (1), %",2/2003,"8,7"
Lainat,"12 kk:n muutos (1), %",3/2003,"9,2"
Lainat,"12 kk:n muutos (1), %",4/2003,"10,0"
Lainat,"12 kk:n muutos (1), %",5/2003,"9,7"
Lainat,"12 kk:n muutos (1), %",6/2003,"10,4"
Lainat,"12 kk:n muutos (1), %",7/2003,"10,0"
Lainat,"12 kk:n muutos (1), %",8/2003,"9,8"
Lainat,"12 kk:n muutos (1), %",9/2003,"10,3"
Lainat,"12 kk:n muutos (1), %",10/2003,"10,2"
Lainat,"12 kk:n muutos (1), %",11/2003,"9,8"
Lainat,"12 kk:n muutos (1), %",12/2003,"12,2"
Lainat,"12 kk:n muutos (1), %",1/2004,"12,0"
Lainat,"12 kk:n muutos (1), %",2/2004,"11,6"
Lainat,"12 kk:n muutos (1), %",3/2004,"11,8"
Lainat,"12 kk:n muutos (1), %",4/2004,"11,6"
Lainat,"12 kk:n muutos (1), %",5/2004,"11,7"
Lainat,"12 kk:n muutos (1), %",6/2004,"11,7"
Lainat,"12 kk:n muutos (1), %",7/2004,"11,4"
Lainat,"12 kk:n muutos (1), %",8/2004,"11,2"
Lainat,"12 kk:n muutos (1), %",9/2004,"11,1"
Lainat,"12 kk:n muutos (1), %",10/2004,"11,4"
Lainat,"12 kk:n muutos (1), %",11/2004,"11,6"
Lainat,"12 kk:n muutos (1), %",12/2004,"10,6"
Lainat,"12 kk:n muutos (1), %",1/2005,"11,0"
Lainat,"12 kk:n muutos (1), %",2/2005,"11,6"
Lainat,"12 kk:n muutos (1), %",3/2005,"11,5"
Lainat,"12 kk:n muutos (1), %",4/2005,"12,0"
Lainat,"12 kk:n muutos (1), %",5/2005,"12,2"
Lainat,"12 kk:n muutos (1), %",6/2005,"12,5"
Lainat,"12 kk:n muutos (1), %",7/2005,"11,8"
Lainat,"12 kk:n muutos (1), %",8/2005,"11,9"
Lainat,"12 kk:n muutos (1), %",9/2005,"12,5"
Lainat,"12 kk:n muutos (1), %",10/2005,"12,6"
Lainat,"12 kk:n muutos (1), %",11/2005,"12,7"
Lainat,"12 kk:n muutos (1), %",12/2005,"12,2"
Lainat,"12 kk:n muutos (1), %",1/2006,"12,1"
Lainat,"12 kk:n muutos (1), %",2/2006,"12,6"
Lainat,"12 kk:n muutos (1), %",3/2006,"12,0"
Lainat,"12 kk:n muutos (1), %",4/2006,"11,6"
Lainat,"12 kk:n muutos (1), %",5/2006,"11,5"
Lainat,"12 kk:n muutos (1), %",6/2006,"10,9"
Lainat,"12 kk:n muutos (1), %",7/2006,"12,1"
Lainat,"12 kk:n muutos (1), %",8/2006,"11,8"
Lainat,"12 kk:n muutos (1), %",9/2006,"11,2"
Lainat,"12 kk:n muutos (1), %",10/2006,"10,6"
Lainat,"12 kk:n muutos (1), %",11/2006,"10,5"
Lainat,"12 kk:n muutos (1), %",12/2006,"11,5"
Lainat,"12 kk:n muutos (1), %",1/2007,"11,7"
Lainat,"12 kk:n muutos (1), %",2/2007,"11,3"
Lainat,"12 kk:n muutos (1), %",3/2007,"11,8"
Lainat,"12 kk:n muutos (1), %",4/2007,"11,6"
Lainat,"12 kk:n muutos (1), %",5/2007,"11,4"
Lainat,"12 kk:n muutos (1), %",6/2007,"11,6"
Lainat,"12 kk:n muutos (1), %",7/2007,"11,2"
Lainat,"12 kk:n muutos (1), %",8/2007,"11,5"
Lainat,"12 kk:n muutos (1), %",9/2007,"12,1"
Lainat,"12 kk:n muutos (1), %",10/2007,"12,5"
Lainat,"12 kk:n muutos (1), %",11/2007,"12,6"
Lainat,"12 kk:n muutos (1), %",12/2007,"11,7"
Lainat,"12 kk:n muutos (1), %",1/2008,"11,1"
Lainat,"12 kk:n muutos (1), %",2/2008,"11,7"
Lainat,"12 kk:n muutos (1), %",3/2008,"12,6"
Lainat,"12 kk:n muutos (1), %",4/2008,"13,1"
Lainat,"12 kk:n muutos (1), %",5/2008,"13,3"
Lainat,"12 kk:n muutos (1), %",6/2008,"12,9"
Lainat,"12 kk:n muutos (1), %",7/2008,"13,2"
Lainat,"12 kk:n muutos (1), %",8/2008,"13,0"
Lainat,"12 kk:n muutos (1), %",9/2008,"13,2"
Lainat,"12 kk:n muutos (1), %",10/2008,"13,0"
Lainat,"12 kk:n muutos (1), %",11/2008,"12,7"
Lainat,"12 kk:n muutos (1), %",12/2008,"11,6"
Lainat,"12 kk:n muutos (1), %",1/2009,"11,7"
Lainat,"12 kk:n muutos (1), %",2/2009,"10,5"
Lainat,"12 kk:n muutos (1), %",3/2009,"8,5"
Lainat,"12 kk:n muutos (1), %",4/2009,"7,5"
Lainat,"12 kk:n muutos (1), %",5/2009,"6,6"
Lainat,"12 kk:n muutos (1), %",6/2009,"5,6"
Lainat,"12 kk:n muutos (1), %",7/2009,"5,1"
Lainat,"12 kk:n muutos (1), %",8/2009,"4,8"
Lainat,"12 kk:n muutos (1), %",9/2009,"2,7"
Lainat,"12 kk:n muutos (1), %",10/2009,"2,0"
Lainat,"12 kk:n muutos (1), %",11/2009,"1,4"
Lainat,"12 kk:n muutos (1), %",12/2009,"1,7"
Lainat,"12 kk:n muutos (1), %",1/2010,"2,1"
Lainat,"12 kk:n muutos (1), %",2/2010,"2,6"
Lainat,"12 kk:n muutos (1), %",3/2010,"2,9"
Lainat,"12 kk:n muutos (1), %",4/2010,"3,0"
Lainat,"12 kk:n muutos (1), %",5/2010,"3,8"
Lainat,"12 kk:n muutos (1), %",6/2010,"4,6"
Lainat,"12 kk:n muutos (1), %",7/2010,"4,8"
Lainat,"12 kk:n muutos (1), %",8/2010,"5,0"
Lainat,"12 kk:n muutos (1), %",9/2010,"5,9"
Lainat,"12 kk:n muutos (1), %",10/2010,"5,9"
Lainat,"12 kk:n muutos (1), %",11/2010,"6,5"
Lainat,"12 kk:n muutos (1), %",12/2010,"6,6"
Lainat,"12 kk:n muutos (1), %",1/2011,"6,1"
Lainat,"12 kk:n muutos (1), %",2/2011,"6,0"
Lainat,"12 kk:n muutos (1), %",3/2011,"5,9"
Lainat,"12 kk:n muutos (1), %",4/2011,"5,8"
Lainat,"12 kk:n muutos (1), %",5/2011,"5,5"
Lainat,"12 kk:n muutos (1), %",6/2011,"5,1"
Lainat,"12 kk:n muutos (1), %",7/2011,"5,1"
Lainat,"12 kk:n muutos (1), %",8/2011,"5,0"
Lainat,"12 kk:n muutos (1), %",9/2011,"5,8"
Lainat,"12 kk:n muutos (1), %",10/2011,"6,4"
Lainat,"12 kk:n muutos (1), %",11/2011,"6,2"
Lainat,"12 kk:n muutos (1), %",12/2011,"6,1"
Lainat,"12 kk:n muutos (1), %",1/2012,"6,6"
Lainat,"12 kk:n muutos (1), %",2/2012,"6,8"
Lainat,"12 kk:n muutos (1), %",3/2012,"7,5"
Lainat,"12 kk:n muutos (1), %",4/2012,"7,6"
Lainat,"12 kk:n muutos (1), %",5/2012,"7,8"
Lainat,"12 kk:n muutos (1), %",6/2012,"8,3"
Lainat,"12 kk:n muutos (1), %",7/2012,"7,9"
Lainat,"12 kk:n muutos (1), %",8/2012,"8,0"
Lainat,"12 kk:n muutos (1), %",9/2012,"7,9"
Lainat,"12 kk:n muutos (1), %",10/2012,"7,0"
Lainat,"12 kk:n muutos (1), %",11/2012,"6,9"
Lainat,"12 kk:n muutos (1), %",12/2012,"7,1"
Lainat,"12 kk:n muutos (1), %",1/2013,"7,8"
Lainat,"12 kk:n muutos (1), %",2/2013,"7,5"
Lainat,"12 kk:n muutos (1), %",3/2013,"7,3"
Lainat,"12 kk:n muutos (1), %",4/2013,"7,0"
Lainat,"12 kk:n muutos (1), %",5/2013,"6,6"
Lainat,"12 kk:n muutos (1), %",6/2013,"8,0"
Lainat,"12 kk:n muutos (1), %",7/2013,"8,1"
Lainat,"12 kk:n muutos (1), %",8/2013,"7,7"
Lainat,"12 kk:n muutos (1), %",9/2013,"7,2"
Lainat,"12 kk:n muutos (1), %",10/2013,"8,3"
Lainat,"12 kk:n muutos (1), %",11/2013,"8,1"
Lainat,"12 kk:n muutos (1), %",12/2013,"7,7"
Lainat,"12 kk:n muutos (1), %",1/2014,"7,5"
Lainat,"12 kk:n muutos (1), %",2/2014,"7,0"
Lainat,"12 kk:n muutos (1), %",3/2014,"6,6"
Lainat,"12 kk:n muutos (1), %",4/2014,"6,0"
Lainat,"12 kk:n muutos (1), %",5/2014,"6,6"
Lainat,"12 kk:n muutos (1), %",6/2014,"4,8"
Lainat,"12 kk:n muutos (1), %",7/2014,"3,3"
Lainat,"12 kk:n muutos (1), %",8/2014,"3,9"
Lainat,"12 kk:n muutos (1), %",9/2014,"5,2"
Lainat,"12 kk:n muutos (1), %",10/2014,"3,9"
Lainat,"12 kk:n muutos (1), %",11/2014,"4,0"
Lainat,"12 kk:n muutos (1), %",12/2014,"3,6"
Lainat,"12 kk:n muutos (1), %",1/2015,"5,5"
Lainat,"12 kk:n muutos (1), %",2/2015,"4,8"
Lainat,"12 kk:n muutos (1), %",3/2015,"3,9"
Lainat,"12 kk:n muutos (1), %",4/2015,"3,4"
Lainat,"12 kk:n muutos (1), %",5/2015,"3,1"
Lainat,"12 kk:n muutos (1), %",6/2015,"2,1"
Lainat,"12 kk:n muutos (1), %",7/2015,"2,8"
Lainat,"12 kk:n muutos (1), %",8/2015,"2,3"
Lainat,"12 kk:n muutos (1), %",9/2015,"0,8"
Lainat,"12 kk:n muutos (1), %",10/2015,"1,6"
Lainat,"12 kk:n muutos (1), %",11/2015,"1,3"
Lainat,"12 kk:n muutos (1), %",12/2015,"0,7"
Lainat,"12 kk:n muutos (1), %",1/2016,"-0,5"
Lainat,"12 kk:n muutos (1), %",2/2016,"-0,1"
Lainat,"12 kk:n muutos (1), %",3/2016,"0,8"
Lainat,"12 kk:n muutos (1), %",4/2016,"1,2"
Lainat,"12 kk:n muutos (1), %",5/2016,"0,4"
Lainat,"12 kk:n muutos (1), %",6/2016,"2,4"
Lainat,"12 kk:n muutos (1), %",7/2016,"2,1"
Lainat,"12 kk:n muutos (1), %",8/2016,"1,6"
Lainat,"12 kk:n muutos (1), %",9/2016,"1,2"
Lainat,"12 kk:n muutos (1), %",10/2016,"0,4"
Lainat,"12 kk:n muutos (1), %",11/2016,"0,6"
Lainat,"12 kk:n muutos (1), %",12/2016,"1,5"
Lainat,"12 kk:n muutos (1), %",1/2017,"0,4"
Lainat,"12 kk:n muutos (1), %",2/2017,"0,9"
Lainat,"12 kk:n muutos (1), %",3/2017,"1,1"
Lainat,"12 kk:n muutos (1), %",4/2017,"1,7"
Lainat,"12 kk:n muutos (1), %",5/2017,"2,1"
Lainat,"12 kk:n muutos (1), %",6/2017,"0,6"
Lainat,"12 kk:n muutos (1), %",7/2017,"1,6"
Lainat,"12 kk:n muutos (1), %",8/2017,"2,2"
Lainat,"12 kk:n muutos (1), %",9/2017,"2,4"
Lainat,"12 kk:n muutos (1), %",10/2017,"2,9"
Lainat,"12 kk:n muutos (1), %",11/2017,"2,6"
Lainat,"12 kk:n muutos (1), %",12/2017,"3,2"
Lainat,"12 kk:n muutos (1), %",1/2018,"2,7"
Lainat,"12 kk:n muutos (1), %",2/2018,"2,8"
Lainat,"12 kk:n muutos (1), %",3/2018,"2,9"
Lainat,"12 kk:n muutos (1), %",4/2018,"2,8"
Lainat,"12 kk:n muutos (1), %",5/2018,"3,4"
Lainat,"12 kk:n muutos (1), %",6/2018,"3,8"
Lainat,"12 kk:n muutos (1), %",7/2018,"3,8"
Lainat,"12 kk:n muutos (1), %",8/2018,"3,9"
Lainat,"12 kk:n muutos (1), %",9/2018,"4,1"
Lainat,"12 kk:n muutos (1), %",10/2018,"4,4"
Lainat,"12 kk:n muutos (1), %",11/2018,"4,9"
Lainat,"12 kk:n muutos (1), %",12/2018,"4,8"
Lainat,"12 kk:n muutos (1), %",1/2019,"5,1"
Lainat,"12 kk:n muutos (1), %",2/2019,"5,2"
Lainat,"12 kk:n muutos (1), %",3/2019,"4,9"
Lainat,"12 kk:n muutos (1), %",4/2019,"4,9"
Lainat,"12 kk:n muutos (1), %",5/2019,"4,5"
Lainat,"12 kk:n muutos (1), %",6/2019,"4,7"
Lainat,"12 kk:n muutos (1), %",7/2019,"4,8"
Lainat,"12 kk:n muutos (1), %",8/2019,"4,9"
Lainat,"12 kk:n muutos (1), %",9/2019,"4,9"
Lainat,"12 kk:n muutos (1), %",10/2019,"5,3"
Lainat,"12 kk:n muutos (1), %",11/2019,"5,3"
Lainat,"12 kk:n muutos (1), %",12/2019,"5,3"
Lainat,"12 kk:n muutos (1), %",1/2020,"5,6"
Lainat,"12 kk:n muutos (1), %",2/2020,"5,5"
Lainat,"12 kk:n muutos (1), %",3/2020,"6,2"
Lainat,"12 kk:n muutos (1), %",4/2020,"7,0"
Lainat,"12 kk:n muutos (1), %",5/2020,"7,3"
Lainat,"12 kk:n muutos (1), %",6/2020,"6,7"
Lainat,"12 kk:n muutos (1), %",7/2020,"6,8"
Lainat,"12 kk:n muutos (1), %",8/2020,"6,2"
Lainat,"12 kk:n muutos (1), %",9/2020,"5,9"
Lainat,"12 kk:n muutos (1), %",10/2020,"5,4"
Lainat,"12 kk:n muutos (1), %",11/2020,"4,9"
Lainat,"12 kk:n muutos (1), %",12/2020,"4,7"
Lainat,"12 kk:n muutos (1), %",1/2021,"4,2"
Lainat,"12 kk:n muutos (1), %",2/2021,"4,3"
Lainat,"12 kk:n muutos (1), %",3/2021,"3,2"
Lainat,"12 kk:n muutos (1), %",4/2021,"2,5"
Lainat,"12 kk:n muutos (1), %",5/2021,"2,4"
Lainat,"12 kk:n muutos (1), %",6/2021,"2,4"
Lainat,"12 kk:n muutos (1), %",7/2021,"2,1"
Lainat,"12 kk:n muutos (1), %",8/2021,"2,1"
Lainat,"12 kk:n muutos (1), %",9/2021,"2,1"
Lainat,"12 kk:n muutos (1), %",10/2021,"2,0"
Lainat,"12 kk:n muutos (1), %",11/2021,"2,2"
Lainat,"12 kk:n muutos (1), %",12/2021,"4,3"
Lainat,"12 kk:n muutos (1), %",1/2022,"4,1"
Lainat,"12 kk:n muutos (1), %",2/2022,"3,9"
Lainat,"12 kk:n muutos (1), %",3/2022,"4,4"
Lainat,"12 kk:n muutos (1), %",4/2022,"4,4"
Lainat,"12 kk:n muutos (1), %",5/2022,"4,0"
Lainat,"12 kk:n muutos (1), %",6/2022,"5,4"
Lainat,"12 kk:n muutos (1), %",7/2022,"5,6"
Lainat,"12 kk:n muutos (1), %",8/2022,"6,5"
Lainat,"12 kk:n muutos (1), %",9/2022,"6,2"
Lainat,"12 kk:n muutos (1), %",10/2022,"6,3"
Lainat,"12 kk:n muutos (1), %",11/2022,"6,3"
Lainat,"12 kk:n muutos (1), %",12/2022,"4,0"
Lainat,"12 kk:n muutos (1), %",1/2023,"4,0"
Lainat,"12 kk:n muutos (1), %",2/2023,"3,5"
Lainat,"12 kk:n muutos (1), %",3/2023,"3,0"
Lainat,"12 kk:n muutos (1), %",4/2023,"2,9"
Lainat,"12 kk:n muutos (1), %",5/2023,"2,6"
Lainat,"12 kk:n muutos (1), %",6/2023,"1,0"
Lainat,"12 kk:n muutos (1), %",7/2023,"0,8"
Lainat,"12 kk:n muutos (1), %",8/2023,"-0,1"
Lainat,"12 kk:n muutos (1), %",9/2023,"0,2"
Lainat,"12 kk:n muutos (1), %",10/2023,"-0,1"
Lainat,"12 kk:n muutos (1), %",11/2023,"0,0"
Lainat,"12 kk:n muutos (1), %",12/2023,"0,4"
Lainat,"12 kk:n muutos (1), %",1/2024,"-0,4"
Lainat,"12 kk:n muutos (1), %",2/2024,"-0,1"
Lainat,"12 kk:n muutos (1), %",3/2024,"0,1"
Lainat,"12 kk:n muutos (1), %",4/2024,"-0,1"
Lainat,"12 kk:n muutos (1), %",5/2024,"0,1"
Lainat,"12 kk:n muutos (1), %",6/2024,"0,0"
Lainat,"12 kk:n muutos (1), %",7/2024,"-0,1"
Lainat,"Keskikorko, %",1/2003,
Lainat,"Keskikorko, %",2/2003,
Lainat,"Keskikorko, %",3/2003,
Lainat,"Keskikorko, %",4/2003,
Lainat,"Keskikorko, %",5/2003,
Lainat,"Keskikorko, %",6/2003,
Lainat,"Keskikorko, %",7/2003,
Lainat,"Keskikorko, %",8/2003,
Lainat,"Keskikorko, %",9/2003,
Lainat,"Keskikorko, %",10/2003,
Lainat,"Keskikorko, %",11/2003,
Lainat,"Keskikorko, %",12/2003,
Lainat,"Keskikorko, %",1/2004,
Lainat,"Keskikorko, %",2/2004,
Lainat,"Keskikorko, %",3/2004,
Lainat,"Keskikorko, %",4/2004,
Lainat,"Keskikorko, %",5/2004,
Lainat,"Keskikorko, %",6/2004,
Lainat,"Keskikorko, %",7/2004,
Lainat,"Keskikorko, %",8/2004,
Lainat,"Keskikorko, %",9/2004,
Lainat,"Keskikorko, %",10/2004,
Lainat,"Keskikorko, %",11/2004,
Lainat,"Keskikorko, %",12/2004,
Lainat,"Keskikorko, %",1/2005,
Lainat,"Keskikorko, %",2/2005,
Lainat,"Keskikorko, %",3/2005,
