Inflaatio;
1980M01;8,9
1980M02;9,3
1980M03;9,7
1980M04;10,7
1980M05;11,6
1980M06;11,2
1980M07;11,3
1980M08;12,3
1980M09;12,9
1980M10;13,3
1980M11;13,5
1980M12;13,7
1981M01;13,5
1981M02;12,8
1981M03;13,1
1981M04;12,5
1981M05;12,7
1981M06;12,9
1981M07;12,6
1981M08;11,5
1981M09;11,4
1981M10;11,3
1981M11;10,4
1981M12;10
1982M01;10,7
1982M02;10,3
1982M03;10,2
1982M04;9,6
1982M05;9,8
1982M06;9,4
1982M07;9,8
1982M08;9,3
1982M09;8,1
1982M10;7,6
1982M11;7,9
1982M12;9
1983M01;8,2
1983M02;8,2
1983M03;7,5
1983M04;8
1983M05;7,7
1983M06;8,9
1983M07;8,5
1983M08;9
1983M09;9,4
1983M10;9,1
1983M11;9,8
1983M12;8,6
1984M01;8,3
1984M02;8,2
1984M03;8,1
1984M04;8
1984M05;7,4
1984M06;6,4
1984M07;6,4
1984M08;6,7
1984M09;6,6
1984M10;6,9
1984M11;6
1984M12;6,1
1985M01;6,4
1985M02;6,4
1985M03;6,6
1985M04;6,5
1985M05;6,4
1985M06;6,4
1985M07;6,1
1985M08;5,8
1985M09;5,3
1985M10;4,9
1985M11;4,9
1985M12;5
1986M01;4,5
1986M02;4,6
1986M03;3,8
1986M04;3,7
1986M05;3
1986M06;3,3
1986M07;3,3
1986M08;3,4
1986M09;3,3
1986M10;3,5
1986M11;3,3
1986M12;3,4
1987M01;3,7
1987M02;3,5
1987M03;3,9
1987M04;3,9
1987M05;3,7
1987M06;3,5
1987M07;3,4
1987M08;3,4
1987M09;3,9
1987M10;3,7
1987M11;3,7
1987M12;3,7
1988M01;4,2
1988M02;4,1
1988M03;4,1
1988M04;4,4
1988M05;5,1
1988M06;5,3
1988M07;5,2
1988M08;5,2
1988M09;5,6
1988M10;5,6
1988M11;5,9
1988M12;6,5
1989M01;5,8
1989M02;6
1989M03;6,6
1989M04;6,9
1989M05;6,4
1989M06;6,8
1989M07;6,7
1989M08;6,6
1989M09;6,8
1989M10;7,1
1989M11;6,8
1989M12;6,5
1990M01;7,5
1990M02;7,4
1990M03;6,5
1990M04;6,2
1990M05;6,2
1990M06;5,6
1990M07;5,9
1990M08;6,2
1990M09;5,6
1990M10;5,5
1990M11;5,6
1990M12;4,9
1991M01;4,9
1991M02;5
1991M03;4,8
1991M04;4,6
1991M05;4,6
1991M06;4,2
1991M07;4
1991M08;3,6
1991M09;3,3
1991M10;3,2
1991M11;3,3
1991M12;3,9
1992M01;2,9
1992M02;2,6
1992M03;2,8
1992M04;2,8
1992M05;2,4
1992M06;2,7
1992M07;2,6
1992M08;2,4
1992M09;2,6
1992M10;2,7
1992M11;2,8
1992M12;2,1
1993M01;2,9
1993M02;2,9
1993M03;2,7
1993M04;2,6
1993M05;2,6
1993M06;2,1
1993M07;2,1
1993M08;2,1
1993M09;1,8
1993M10;1,6
1993M11;1,3
1993M12;1,5
1994M01;0,2
1994M02;0,3
1994M03;0,4
1994M04;0,2
1994M05;0,2
1994M06;1,3
1994M07;1,6
1994M08;1,9
1994M09;1,9
1994M10;1,9
1994M11;1,7
1994M12;1,6
1995M01;1,9
1995M02;1,8
1995M03;1,7
1995M04;1,5
1995M05;1,6
1995M06;0,9
1995M07;0,8
1995M08;0,5
1995M09;0,3
1995M10;0,3
1995M11;0,3
1995M12;0,3
1996M01;0,5
1996M02;0,5
1996M03;0,6
1996M04;0,7
1996M05;0,7
1996M06;0,4
1996M07;0,5
1996M08;0,4
1996M09;0,5
1996M10;0,7
1996M11;0,7
1996M12;0,8
1997M01;0,6
1997M02;0,4
1997M03;0,6
1997M04;1
1997M05;1
1997M06;1,2
1997M07;1,2
1997M08;1,6
1997M09;1,6
1997M10;1,7
1997M11;1,9
1997M12;1,9
1998M01;1,9
1998M02;1,9
1998M03;1,8
1998M04;1,8
1998M05;1,5
1998M06;1,5
1998M07;1,1
1998M08;1,1
1998M09;1,3
1998M10;1,1
1998M11;0,9
1998M12;0,8
1999M01;0,5
1999M02;0,8
1999M03;0,8
1999M04;1,1
1999M05;1,4
1999M06;1,1
1999M07;1,2
1999M08;1,1
1999M09;1,1
1999M10;1,3
1999M11;1,6
1999M12;2
2000M01;2,2
2000M02;2,7
2000M03;3,1
2000M04;2,7
2000M05;2,9
2000M06;3,5
2000M07;3,7
2000M08;3,8
2000M09;4,2
2000M10;4,1
2000M11;4
2000M12;3,5
2001M01;3,3
2001M02;3,1
2001M03;2,9
2001M04;3
2001M05;3,4
2001M06;3
2001M07;2,5
2001M08;2,4
2001M09;2,2
2001M10;1,9
2001M11;1,6
2001M12;1,6
2002M01;2,3
2002M02;1,8
2002M03;1,8
2002M04;1,8
2002M05;1,3
2002M06;1,1
2002M07;1,7
2002M08;1,4
2002M09;1
2002M10;1,5
2002M11;1,6
2002M12;1,7
2003M01;1,4
2003M02;1,9
2003M03;1,6
2003M04;1,1
2003M05;0,7
2003M06;0,8
2003M07;0,5
2003M08;0,6
2003M09;0,7
2003M10;0,3
2003M11;0,5
2003M12;0,6
2004M01;0,2
2004M02;0,1
2004M03;−0,5
2004M04;−0,4
2004M05;−0,1
2004M06;−0,1
2004M07;0,3
2004M08;0,4
2004M09;0,4
2004M10;0,9
2004M11;0,5
2004M12;0,4
2005M01;0,2
2005M02;0,2
2005M03;1
2005M04;1,2
2005M05;0,8
2005M06;1,1
2005M07;1
2005M08;1
2005M09;1,2
2005M10;0,8
2005M11;0,9
2005M12;1
2006M01;0,8
2006M02;0,9
2006M03;0,9
2006M04;1,3
2006M05;1,7
2006M06;1,7
2006M07;1,9
2006M08;1,9
2006M09;1,5
2006M10;1,8
2006M11;2,1
2006M12;2,2
2007M01;2,3
2007M02;2,2
2007M03;2,6
2007M04;2,6
2007M05;2,4
2007M06;2,4
2007M07;2,6
2007M08;2,3
2007M09;2,6
2007M10;2,7
2007M11;2,9
2007M12;2,6
2008M01;3,8
2008M02;3,7
2008M03;3,9
2008M04;3,5
2008M05;4,2
2008M06;4,4
