"Kuluttajien luottamusindikaattori";
"1995M10";−3,1
"1995M11";−2,2
"1995M12";−3,8
"1996M01";−5,5
"1996M02";−5,0
"1996M03";−4,5
"1996M04";−5,5
"1996M05";−4,0
"1996M06";−1,9
"1996M07";−1,6
"1996M08";0,1
"1996M09";0,8
"1996M10";0,1
"1996M11";0,1
"1996M12";1,7
"1997M01";1,1
"1997M02";2,4
"1997M03";2,7
"1997M04";3,6
"1997M05";2,6
"1997M06";2,4
"1997M07";2,0
"1997M08";1,3
"1997M09";3,0
"1997M10";2,8
"1997M11";2,7
"1997M12";2,4
"1998M01";1,2
"1998M02";0,7
"1998M03";2,6
"1998M04";2,7
"1998M05";2,5
"1998M06";2,5
"1998M07";3,4
"1998M08";2,8
"1998M09";−1,0
"1998M10";−2,2
"1998M11";−0,8
"1998M12";1,3
"1999M01";0,1
"1999M02";−1,4
"1999M03";0,0
"1999M04";1,1
"1999M05";2,0
"1999M06";3,0
"1999M07";2,4
"1999M08";1,4
"1999M09";1,1
"1999M10";2,2
"1999M11";2,1
"1999M12";2,9
"2000M01";3,6
"2000M02";3,9
"2000M03";3,4
"2000M04";1,8
"2000M05";2,3
"2000M06";1,8
"2000M07";2,8
"2000M08";1,1
"2000M09";−0,9
"2000M10";−1,6
"2000M11";−0,2
"2000M12";0,7
"2001M01";1,6
"2001M02";0,5
"2001M03";−1,9
"2001M04";−2,4
"2001M05";−1,0
"2001M06";−2,6
"2001M07";−4,0
"2001M08";−4,4
"2001M09";−5,0
"2001M10";−4,7
"2001M11";−4,9
"2001M12";−2,4
"2002M01";−0,8
"2002M02";−0,2
"2002M03";1,1
"2002M04";1,0
"2002M05";2,0
"2002M06";−0,1
"2002M07";−0,1
"2002M08";−1,8
"2002M09";−1,0
"2002M10";−1,9
"2002M11";−2,0
"2002M12";−1,3
"2003M01";−1,3
"2003M02";−3,2
"2003M03";−1,4
"2003M04";−2,2
"2003M05";−1,5
"2003M06";−2,3
"2003M07";−0,6
"2003M08";−1,0
"2003M09";−0,3
"2003M10";−0,6
"2003M11";−0,7
"2003M12";0,0
"2004M01";0,8
"2004M02";0,2
"2004M03";0,6
"2004M04";0,8
"2004M05";−0,4
"2004M06";−0,6
"2004M07";0,6
"2004M08";0,5
"2004M09";−0,4
"2004M10";−0,8
"2004M11";−0,9
"2004M12";0,6
"2005M01";0,5
"2005M02";1,2
"2005M03";2,6
"2005M04";1,7
"2005M05";0,3
"2005M06";−4,0
"2005M07";−1,2
"2005M08";0,8
"2005M09";−2,7
"2005M10";−0,3
"2005M11";−0,2
"2005M12";−0,1
"2006M01";−0,1
"2006M02";0,8
"2006M03";−0,7
"2006M04";−1,7
"2006M05";0,1
"2006M06";0,6
"2006M07";−1,7
"2006M08";−1,1
"2006M09";−0,8
"2006M10";−1,1
"2006M11";1,2
"2006M12";1,0
"2007M01";0,7
"2007M02";0,0
"2007M03";−0,2
"2007M04";0,9
"2007M05";0,1
"2007M06";1,1
"2007M07";0,4
"2007M08";−0,5
"2007M09";−1,9
"2007M10";−1,7
"2007M11";−2,8
"2007M12";−2,7
"2008M01";−3,1
"2008M02";−3,9
"2008M03";−4,7
"2008M04";−4,9
"2008M05";−7,3
"2008M06";−8,8
"2008M07";−10,1
"2008M08";−10,6
"2008M09";−8,7
"2008M10";−11,8
"2008M11";−12,7
"2008M12";−12,8
"2009M01";−9,9
"2009M02";−9,9
"2009M03";−9,3
"2009M04";−7,0
"2009M05";−3,1
"2009M06";−2,9
"2009M07";−2,0
"2009M08";−2,3
"2009M09";−1,0
"2009M10";0,0
"2009M11";−1,1
"2009M12";1,4
"2010M01";1,7
"2010M02";3,6
"2010M03";3,2
"2010M04";3,3
"2010M05";0,3
"2010M06";1,6
"2010M07";2,6
"2010M08";3,7
"2010M09";5,0
"2010M10";2,8
"2010M11";2,0
"2010M12";−1,5
"2011M01";0,3
"2011M02";0,4
"2011M03";−0,2
"2011M04";−0,6
"2011M05";−1,5
"2011M06";−5,8
"2011M07";−5,5
"2011M08";−8,9
"2011M09";−9,5
"2011M10";−9,3
"2011M11";−10,6
"2011M12";−10,4
"2012M01";−7,0
"2012M02";−3,9
"2012M03";−5,6
"2012M04";−2,9
"2012M05";−2,6
"2012M06";−8,0
"2012M07";−8,9
"2012M08";−10,2
"2012M09";−8,4
"2012M10";−8,7
"2012M11";−7,1
"2012M12";−7,4
"2013M01";−6,0
"2013M02";−2,5
"2013M03";−3,7
"2013M04";−5,2
"2013M05";−5,8
"2013M06";−4,7
"2013M07";−6,1
"2013M08";−5,9
"2013M09";−5,8
"2013M10";−6,1
"2013M11";−5,4
"2013M12";−5,2
"2014M01";−3,0
"2014M02";−3,7
"2014M03";−4,4
"2014M04";−7,4
"2014M05";−5,7
"2014M06";−4,1
"2014M07";−3,2
"2014M08";−8,9
"2014M09";−10,7
"2014M10";−8,4
"2014M11";−8,2
"2014M12";−7,7
"2015M01";−5,9
"2015M02";−3,2
"2015M03";−3,4
"2015M04";−2,1
"2015M05";−1,2
"2015M06";−4,0
"2015M07";−3,4
"2015M08";−5,9
"2015M09";−8,3
"2015M10";−9,2
"2015M11";−5,8
"2015M12";−8,1
"2016M01";−3,4
"2016M02";−5,0
"2016M03";−5,5
"2016M04";−3,6
"2016M05";−3,1
"2016M06";0,1
"2016M07";−1,8
"2016M08";−0,5
"2016M09";−1,2
"2016M10";0,4
"2016M11";−0,3
"2016M12";0,5
"2017M01";2,0
"2017M02";0,8
"2017M03";3,1
"2017M04";3,5
"2017M05";3,9
"2017M06";3,3
"2017M07";3,7
"2017M08";2,6
"2017M09";3,0
"2017M10";4,4
"2017M11";1,9
"2017M12";6,8
"2018M01";4,3
"2018M02";4,9
"2018M03";3,8
"2018M04";2,9
"2018M05";4,1
"2018M06";1,7
"2018M07";2,5
"2018M08";2,4
"2018M09";1,3
"2018M10";0,1
"2018M11";−1,6
"2018M12";−2,1
"2019M01";−2,4
"2019M02";−2,4
"2019M03";−2,3
"2019M04";−1,7
"2019M05";−1,8
"2019M06";−4,6
"2019M07";−3,9
"2019M08";−4,5
"2019M09";−4,2
"2019M10";−6,6
"2019M11";−5,0
"2019M12";−4,2
"2020M01";−4,6
"2020M02";−4,5
"2020M03";−7,1
"2020M04";−13,9
"2020M05";−9,0
"2020M06";−3,9
"2020M07";−1,6
"2020M08";−5,1
"2020M09";−5,9
"2020M10";−6,9
"2020M11";−4,8
"2020M12";−4,6
"2021M01";−0,9
"2021M02";−0,8
"2021M03";−3,0
"2021M04";3,8
"2021M05";2,7
"2021M06";4,6
"2021M07";4,4
"2021M08";4,0
"2021M09";6,0
"2021M10";2,7
"2021M11";1,2
"2021M12";−3,5
"2022M01";−1,7
"2022M02";0,5
"2022M03";−10,5
"2022M04";−11,7
"2022M05";−11,6
"2022M06";−14,3
"2022M07";−15,9
"2022M08";−14,9
"2022M09";−18,3
"2022M10";−17,6
"2022M11";−16,9
"2022M12";−18,5
"2023M01";−12,7
"2023M02";−11,9
"2023M03";−10,8
"2023M04";−7,9
"2023M05";−8,8
"2023M06";−8,8
"2023M07";−8,8
"2023M08";−8,0
"2023M09";−11,5
"2023M10";−12,6
"2023M11";−12,4
"2023M12";−13,3
"2024M01";−9,1
"2024M02";−9,5
"2024M03";−9,4
"2024M04";−12,6
"2024M05";−10,3
"2024M06";−7,6
"2024M07";−7,2
"2024M08";−7,2
"2024M09";−8,1
"Yksikkö: saldoluku";
"Lähde: Tilastokeskus, kuluttajien luottamus";
